SID,First Name,Last Name,Name,Section,Email Address,Exam 1 Score,Exam 2 Score,Exam 3 Score,Homework Score,Quiz Score,Final_Score,Final Score,Ceiling Score,Grade
djd31335,Desiree,Delgado,"Delgado, Desiree Jennifer",2,desiree.delgado@univ.edu,0.88,0.69,0.78,0.7993134920634921,0.463768115942029,0.6888558316080055,0.6888558316080055,69.0,D
rxd29805,Robert,Douglas,"Douglas, Robert",2,robert.douglas@univ.edu,0.86,0.67,0.87,0.7824324324324324,0.6956521739130435,0.7621686251468861,0.7621686251468861,77.0,C
axd31221,Angela,Dunlap,"Dunlap, Angela",2,angela.dunlap@univ.edu,0.82,0.64,0.92,0.8155515873015873,0.6521739130434783,0.7648728088336784,0.7648728088336784,77.0,C
tce09928,Timothy,Edwards,"Edwards, Timothy Caroline",2,timothy.edwards@univ.edu,0.68,0.73,0.71,0.7824324324324324,0.5544410491469315,0.6928052877170525,0.6928052877170525,70.0,C
bcf26283,Brandon,Flores,"Flores, Brandon Chad",2,brandon.flores@univ.edu,0.96,0.93,0.65,0.7810810810810811,0.7681159420289855,0.7813672150411282,0.7813672150411282,79.0,C
rcf61653,Russell,Flores,"Flores, Russell Chad",2,russell.flores@univ.edu,0.64,0.78,0.98,0.8364864864864865,0.7154519989814108,0.8062301942890179,0.8062301942890179,81.0,B
dsg54218,Desiree,Garcia,"Garcia, Desiree Stephanie",2,desiree.garcia@univ.edu,0.81,0.99,0.7,0.8554054054054054,0.5922332569391393,0.764332139243904,0.764332139243904,77.0,C
hxg56446,Heidi,Glover,"Glover, Heidi",2,heidi.glover@univ.edu,0.6,0.83,0.83,0.7609642857142856,0.6376811594202898,0.7331900621118013,0.7331900621118013,74.0,C
smg03171,Sherry,Good,"Good, Sherry Mark",2,sherry.good@univ.edu,0.89,0.88,0.64,0.8121621621621622,0.6014438502673797,0.7337980199450789,0.7337980199450789,74.0,C
lxg35058,Lori,Gordon,"Gordon, Lori",2,lori.gordon@univ.edu,0.88,0.96,0.76,0.8088214285714287,0.7246376811594203,0.7949198757763976,0.7949198757763976,80.0,B
bjg14618,Benjamin,Graham,"Graham, Benjamin James",2,benjamin.graham@univ.edu,0.81,0.73,0.81,0.7878378378378378,0.6002419149477973,0.7302077096194743,0.7302077096194743,74.0,C
chh70562,Crystal,Holt,"Holt, Crystal Heather",2,crystal.holt@univ.edu,0.63,0.97,0.73,0.7527027027027027,0.7983422459893048,0.7785837548778726,0.7785837548778726,78.0,C
mjj83180,Margaret,James,"James, Margaret Juan",2,margaret.james@univ.edu,0.85,0.9,0.97,0.8135135135135135,0.6813368983957219,0.807806474924122,0.807806474924122,81.0,B
smj00936,Stacy,Johnson,"Johnson, Stacy Michael",2,stacy.johnson@univ.edu,0.96,0.8,0.86,0.7877420634920634,0.6521739130434783,0.7677489993098688,0.7677489993098688,77.0,C
txj17476,Tara,Johnson,"Johnson, Tara",2,tara.johnson@univ.edu,0.71,0.91,0.95,0.7895079365079365,0.7067379679144385,0.7968245649775062,0.7968245649775062,80.0,B
jxj82678,Jamie,Johnson,"Johnson, Jamie",2,jamie.johnson@univ.edu,0.63,0.71,0.9,0.9081081081081082,0.7246376811594203,0.8181345475910694,0.8181345475910694,82.0,B
mxl12345,Malaika,Lambert,"Lambert, Malaika",2,malaika.lambert@univ.edu,0.6,0.91,0.93,0.827027027027027,0.682149223325694,0.795955577808519,0.795955577808519,80.0,B
axl60952,Aaron,Lester,"Lester, Aaron",2,aaron.lester@univ.edu,0.79,0.63,0.68,0.8243243243243243,0.5943570155334862,0.7125368343897757,0.7125368343897757,72.0,C
asm59771,Ashley,Martin,"Martin, Ashley Sara",2,ashley.martin@univ.edu,0.67,0.72,0.68,0.7986486486486486,0.6474076903488668,0.7211817665641196,0.7211817665641196,73.0,C
sem28474,Stephen,Miller,"Miller, Stephen Elizabeth",2,stephen.miller@univ.edu,0.72,0.7,0.97,0.80625,0.6135217723453018,0.7580565317035906,0.7580565317035906,76.0,C
bgm86325,Brian,Myers,"Myers, Brian Gary",2,brian.myers@univ.edu,0.74,0.6,0.92,0.7840119047619047,0.7101449275362319,0.7616482401656315,0.7616482401656315,77.0,C
cxn83965,Cindy,Nguyen,"Nguyen, Cindy",2,cindy.nguyen@univ.edu,0.82,0.68,0.82,0.7510158730158729,0.6407181054239878,0.7246217808335454,0.7246217808335454,73.0,C
jxo31236,John,Odom,"Odom, John",2,john.odom@univ.edu,0.85,1.0,0.8,0.7558650793650794,0.7226890756302521,0.7816527544351074,0.7816527544351074,79.0,C
bkr19538,Brandy,Reilly,"Reilly, Brandy Kevin",2,brandy.reilly@univ.edu,0.69,0.67,0.95,0.8256756756756757,0.7014973262032086,0.7847194681312328,0.7847194681312328,79.0,C
bxr62103,Bailey,Reyes,"Reyes, Bailey",2,bailey.reyes@univ.edu,0.9,0.72,0.71,0.7797297297297298,0.7971014492753623,0.7745223266745005,0.7745223266745005,78.0,C
skr62062,Steven,Roberts,"Roberts, Steven Katherine",2,steven.roberts@univ.edu,0.7,0.8,0.67,0.8621621621621621,0.6881436210847975,0.7668079511903042,0.7668079511903042,77.0,C
akr14831,Alexander,Rodriguez,"Rodriguez, Alexander Katelyn",2,alexander.rodriguez@univ.edu,0.97,0.97,0.81,0.7192936507936508,0.8405797101449275,0.8068913733609385,0.8068913733609385,81.0,B
sbr74322,Sherry,Rogers,"Rogers, Sherry Benjamin",2,sherry.rogers@univ.edu,0.63,0.92,0.8,0.7453690476190478,0.7681159420289855,0.7720824016563148,0.7720824016563148,78.0,C
oxr30270,Oscar,Rush,"Rush, Oscar",2,oscar.rush@univ.edu,0.74,0.8,0.66,0.7554054054054054,0.5217391304347826,0.6746839012925969,0.6746839012925969,68.0,D
mxs33225,Michelle,Scott,"Scott, Michelle",2,michelle.scott@univ.edu,0.87,0.77,0.92,0.7391891891891892,0.7971014492753623,0.7933061104582844,0.7933061104582844,80.0,B
sxs90647,Samantha,Smith,"Smith, Samantha",2,samantha.smith@univ.edu,0.69,1.0,0.74,0.7692619047619048,0.5942028985507246,0.7314656314699793,0.7314656314699793,74.0,C
aes07091,Andrea,Smith,"Smith, Andrea Erica",2,andrea.smith@univ.edu,0.66,0.97,0.86,0.8354920634920635,0.6780239368474662,0.7966040064510652,0.7966040064510652,80.0,B
lxs77616,Leslie,Sparks,"Sparks, Leslie",2,leslie.sparks@univ.edu,0.61,0.95,0.9,0.7640436507936508,0.6956521739130435,0.7748131124913734,0.7748131124913734,78.0,C
mxs29840,Marcia,Stevens,"Stevens, Marcia",2,marcia.stevens@univ.edu,0.63,0.99,0.83,0.8805277777777778,0.8840579710144928,0.872428502415459,0.872428502415459,88.0,B
mat59156,Michael,Taylor,"Taylor, Michael Ashley",2,michael.taylor@univ.edu,0.91,0.68,0.66,0.7067567567567568,0.7246376811594203,0.7125940070505288,0.7125940070505288,72.0,C
cxw68726,Carol,Watkins,"Watkins, Carol",2,carol.watkins@univ.edu,0.62,0.92,0.98,0.8405405405405405,0.4782608695652174,0.7496944770857814,0.7496944770857814,75.0,C
hsw06874,Holly,Watson,"Watson, Holly Samuel",2,holly.watson@univ.edu,0.81,1.0,0.9,0.7650515873015873,0.6466946778711484,0.7755290382819795,0.7755290382819795,78.0,C
kxw26270,Kimberly,Williams,"Williams, Kimberly",2,kimberly.williams@univ.edu,0.82,0.95,0.85,0.8027027027027027,0.6256455309396486,0.7722747403629757,0.7722747403629757,78.0,C
cxw91147,Courtney,Wolf,"Wolf, Courtney",2,courtney.wolf@univ.edu,0.88,0.86,0.62,0.8189007936507936,0.7377005347593583,0.7718704778881249,0.7718704778881249,78.0,C
jxw87000,John,Woodard,"Woodard, John",2,john.woodard@univ.edu,0.68,0.93,0.62,0.7693214285714285,0.8351260504201681,0.7782663865546218,0.7782663865546218,78.0,C
